Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.710938,12.453125,12.476562,12.531250,0.000000,0.000000,0.000000,0.000000,
0.020321,0.786886,-0.786886,0.000000,0.000000,0.118015,0.118015,-0.118015,-0.118015,11.632812,12.156250,11.218750,12.539062,27.468750,1.093750,32.031250,0.000000,
0.040496,0.445902,-0.445902,0.100571,-0.075428,0.056825,0.056825,-0.059328,-0.059328,12.171875,11.867188,11.812500,11.281250,1.593750,11.968750,13.125000,34.718750,
0.060193,0.891803,-0.891803,0.100571,-0.075428,0.116153,0.123692,-0.121189,-0.121189,11.203125,11.335938,10.953125,11.960938,36.812500,30.343750,35.218750,12.500000,
0.080101,1.337705,-1.337705,0.176000,-0.125714,0.183050,0.183050,-0.188055,-0.188055,10.828125,10.593750,10.289062,11.257812,35.406250,39.593750,47.093750,31.781250,
0.100076,1.783607,-1.783607,0.326856,-0.276571,0.234840,0.234840,-0.239875,-0.239875,10.242188,10.617188,9.937500,10.500000,49.343750,39.250000,48.843750,39.343750,
0.120140,2.229508,-2.229508,0.326856,-0.276571,0.276589,0.276589,-0.279092,-0.279092,9.812500,10.226562,9.804688,10.515625,60.437500,48.093750,45.937500,34.593750,
0.140134,2.675410,-2.675410,0.578284,-0.553142,0.343455,0.343455,-0.345988,-0.345988,9.867188,10.390625,9.601562,10.296875,57.000000,37.406250,58.062500,43.468750,
0.160142,3.121311,-3.121311,1.005712,-0.980569,0.367595,0.410352,-0.370128,-0.370128,10.398438,10.453125,10.078125,10.351562,42.593750,33.843750,35.406250,30.781250,
0.180154,3.567213,-3.567213,1.005712,-0.980569,0.434492,0.434492,-0.379192,-0.379192,9.859375,10.156250,9.343750,10.156250,45.031250,49.937500,67.937500,34.250000,
0.200058,4.013115,-4.013115,1.609139,-1.558854,0.441023,0.441023,-0.446059,-0.446059,10.031250,10.429688,9.828125,10.203125,49.593750,40.625000,54.312500,36.875000,
0.220353,4.459016,-4.459016,2.338280,-2.313138,0.435011,0.441023,-0.437513,-0.437513,10.390625,10.156250,10.281250,10.234375,30.187500,40.812500,33.468750,33.843750,
0.240106,4.904918,-4.904918,2.338280,-2.313138,0.501907,0.501907,-0.504410,-0.504410,9.531250,9.789062,9.570312,9.992188,46.625000,48.031250,56.406250,38.906250,
0.260140,5.350820,-5.350820,3.117707,-3.042279,0.490829,0.490829,-0.498367,-0.498367,10.046875,10.273438,9.945312,9.984375,41.375000,33.875000,39.093750,44.375000,
0.280283,5.346623,-5.346623,3.117707,-3.846848,0.409742,0.490219,-0.417280,-0.417280,10.000000,10.617188,9.804688,10.148438,37.250000,29.531250,43.218750,37.656250,
0.300085,5.330508,-5.330508,3.922277,-3.846848,0.407331,0.407331,-0.414869,-0.414869,10.492188,10.500000,10.335938,10.507812,30.750000,31.531250,40.343750,29.468750,
0.320119,5.316971,-5.316971,4.626275,-4.626275,0.334910,0.334910,-0.334910,-0.334910,11.320312,11.148438,11.140625,10.656250,23.406250,20.593750,18.937500,33.750000,
0.340245,5.305600,-5.305600,4.626275,-4.626275,0.270333,0.270333,-0.267830,-0.267830,11.421875,11.523438,11.328125,11.203125,22.656250,13.687500,19.375000,18.843750,
0.360186,5.296048,-5.296048,5.254845,-5.279988,0.268899,0.268899,-0.266396,-0.266396,11.859375,11.664062,11.765625,11.718750,13.750000,10.562500,8.500000,7.062500,
0.380116,5.288024,-5.288024,5.732558,-5.782844,0.219947,0.219947,-0.214911,-0.214911,12.375000,11.976562,12.179688,11.812500,0.000000,8.687500,0.000000,5.843750,
0.400078,5.281285,-5.281285,5.732558,-5.782844,0.218909,0.218909,-0.183721,-0.183721,12.343750,12.117188,12.109375,12.125000,0.156250,0.000000,0.000000,0.000000,
0.420183,5.275624,-5.275624,6.009129,-6.084557,0.190405,0.190405,-0.182867,-0.182867,12.531250,12.148438,12.257812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.440152,5.270868,-5.270868,6.084558,-6.134842,0.182165,0.189703,-0.177129,-0.177129,12.554688,12.335938,12.343750,12.351562,0.000000,0.000000,0.000000,0.000000,
0.460329,5.266873,-5.266873,6.084558,-6.134842,0.181555,0.181555,-0.176519,-0.176519,12.640625,12.460938,12.671875,12.515625,0.000000,0.000000,0.000000,0.000000,
0.480180,5.263518,-5.263518,6.009129,-6.034271,0.188604,0.188604,-0.186071,-0.186071,12.781250,12.859375,12.765625,12.914062,0.000000,0.000000,0.000000,0.000000,
0.500056,5.260699,-5.260699,6.009129,-6.059415,0.193213,0.188177,-0.183142,-0.183142,12.921875,12.593750,12.734375,12.859375,0.000000,0.000000,0.000000,0.000000,
0.520099,5.258332,-5.258332,5.958842,-6.059415,0.192846,0.192846,-0.182806,-0.182806,12.937500,12.539062,12.640625,12.859375,0.000000,0.000000,0.000000,0.000000,
