Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000872,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.125000,12.171875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.020101,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.132812,12.171875,12.203125,0.000000,0.000000,0.000000,0.000000,
0.040076,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.406250,12.132812,12.179688,12.218750,0.000000,0.000000,0.000000,0.000000,
0.060006,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.080215,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.132812,12.171875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.100056,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.120037,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.179688,12.218750,0.000000,0.000000,0.000000,0.000000,
0.140038,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.132812,12.179688,12.210938,0.000000,0.000000,0.000000,0.000000,
0.160149,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.125000,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.180195,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.200088,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.125000,12.164062,12.218750,0.000000,0.000000,0.000000,0.000000,
0.220160,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.140625,12.179688,12.218750,0.000000,0.000000,0.000000,0.000000,
0.240328,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.260384,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.140625,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.280068,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.179688,12.218750,0.000000,0.000000,0.000000,0.000000,
0.300079,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.140625,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.320178,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.140625,12.179688,12.226562,0.000000,0.000000,0.000000,0.000000,
0.340054,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.390625,12.140625,12.179688,12.210938,0.000000,0.000000,0.000000,0.000000,
0.360158,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.406250,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.380060,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.400147,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.148438,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.420070,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.406250,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.440122,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.459986,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.125000,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.480275,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.125000,12.179688,12.218750,0.000000,0.000000,0.000000,0.000000,
0.500044,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.140625,12.171875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.520051,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.148438,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.539989,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.398438,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.560111,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.406250,12.132812,12.171875,12.218750,0.000000,0.000000,0.000000,0.000000,
