Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.001862,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.023438,12.421875,12.398438,12.304688,0.000000,0.000000,0.000000,0.000000,
0.020651,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.023438,12.421875,12.398438,12.289062,0.000000,0.000000,0.000000,0.000000,
0.041236,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.061135,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.081680,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.406250,12.296875,0.000000,0.000000,0.000000,0.000000,
0.100537,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.121288,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.140596,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.421875,12.406250,12.296875,0.000000,0.000000,0.000000,0.000000,
0.160647,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.180643,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.200674,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.406250,12.296875,0.000000,0.000000,0.000000,0.000000,
0.220759,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.375000,12.304688,0.000000,0.000000,0.000000,0.000000,
0.240527,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.406250,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.260640,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.406250,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.280591,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.301179,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.375000,12.281250,0.000000,0.000000,0.000000,0.000000,
0.320578,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.398438,12.296875,0.000000,0.000000,0.000000,0.000000,
0.340605,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.382812,12.289062,0.000000,0.000000,0.000000,0.000000,
0.360688,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.414062,12.382812,12.281250,0.000000,0.000000,0.000000,0.000000,
0.380651,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.398438,12.296875,0.000000,0.000000,0.000000,0.000000,
0.400754,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.420485,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.440912,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.421875,12.398438,12.289062,0.000000,0.000000,0.000000,0.000000,
0.460701,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.015625,12.414062,12.382812,12.296875,0.000000,0.000000,0.000000,0.000000,
0.480574,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.289062,0.000000,0.000000,0.000000,0.000000,
0.500761,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.421875,12.398438,12.289062,0.000000,0.000000,0.000000,0.000000,
