Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.765625,11.523438,11.562500,11.609375,0.000000,0.000000,0.000000,0.000000,
0.019973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.773438,11.531250,11.578125,11.617188,0.000000,0.000000,0.000000,0.000000,
0.040021,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.531250,11.562500,11.593750,0.062500,0.000000,0.031250,0.093750,
0.059968,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.554688,11.593750,0.093750,0.062500,0.062500,0.062500,
0.080099,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.062500,0.062500,0.062500,0.062500,
0.100096,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.554688,11.593750,0.062500,0.062500,0.062500,0.062500,
0.120044,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.593750,0.093750,0.031250,0.062500,0.093750,
0.140032,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.562500,11.593750,0.093750,0.062500,0.031250,0.062500,
0.160094,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.507812,11.554688,11.601562,0.062500,0.031250,0.062500,0.062500,
0.180283,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.773438,11.523438,11.554688,11.601562,0.093750,0.062500,0.062500,0.062500,
0.200748,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.093750,0.062500,0.062500,0.093750,
0.219972,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.093750,0.031250,0.062500,0.062500,
0.240058,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.765625,11.523438,11.570312,11.601562,0.093750,0.031250,0.062500,0.062500,
0.260024,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.562500,11.601562,0.093750,0.062500,0.031250,0.062500,
0.279986,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.765625,11.515625,11.570312,11.593750,0.093750,0.031250,0.062500,0.093750,
0.300538,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.093750,0.031250,0.062500,0.062500,
0.320026,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.093750,0.062500,0.062500,0.062500,
0.339982,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.593750,0.062500,0.031250,0.031250,0.062500,
0.360023,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.562500,11.601562,0.093750,0.062500,0.062500,0.093750,
0.380560,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.765625,11.523438,11.562500,11.593750,0.093750,0.062500,0.031250,0.062500,
0.399990,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.523438,11.562500,11.601562,0.062500,0.031250,0.062500,0.062500,
0.420012,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.554688,11.593750,0.093750,0.062500,0.062500,0.093750,
0.439975,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.546875,11.593750,0.093750,0.062500,0.062500,0.062500,
0.460024,0.030518,-0.030518,0.000000,0.000000,0.006073,0.006073,-0.006073,-0.006073,11.757812,11.515625,11.554688,11.585938,0.062500,0.062500,0.062500,0.062500,
