Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000970,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.382812,12.273438,0.000000,0.000000,0.000000,0.000000,
0.021915,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.414062,12.390625,12.281250,0.000000,0.000000,0.000000,0.000000,
0.040778,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.007812,12.406250,12.375000,12.289062,0.000000,0.000000,0.000000,0.000000,
0.060716,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,11.992188,12.406250,12.359375,12.289062,0.000000,0.000000,0.156250,0.000000,
0.080793,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.398438,12.375000,12.273438,0.187500,0.125000,0.000000,0.156250,
0.100965,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.007812,12.398438,12.367188,12.281250,0.000000,0.000000,0.156250,0.000000,
0.120789,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,11.992188,12.390625,12.367188,12.265625,0.187500,0.125000,0.156250,0.156250,
0.140774,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,11.992188,12.398438,12.382812,12.273438,0.187500,0.125000,0.156250,0.156250,
0.160916,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.984375,12.390625,12.367188,12.265625,0.187500,0.125000,0.000000,0.156250,
0.181589,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.000000,12.406250,12.367188,12.289062,0.000000,0.000000,0.156250,0.000000,
0.200855,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,11.984375,12.398438,12.382812,12.265625,0.187500,0.125000,0.156250,0.156250,
0.220864,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,11.992188,12.398438,12.367188,12.273438,0.218750,0.125000,0.156250,0.156250,
0.240802,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.390625,12.375000,12.281250,0.187500,0.156250,0.000000,0.156250,
0.260729,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.000000,12.414062,12.390625,12.289062,0.000000,0.000000,0.156250,0.000000,
0.280753,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.398438,12.367188,12.273438,0.187500,0.125000,0.000000,0.156250,
0.300973,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.007812,12.414062,12.367188,12.281250,0.000000,0.000000,0.156250,0.000000,
0.320823,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.398438,12.390625,12.273438,0.187500,0.125000,0.000000,0.156250,
0.340807,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.000000,12.414062,12.367188,12.289062,0.000000,0.000000,0.156250,0.000000,
0.360896,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.398438,12.359375,12.281250,0.187500,0.125000,0.000000,0.156250,
0.380963,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,12.414062,12.390625,12.289062,0.000000,0.000000,0.000000,0.000000,
0.400971,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,12.398438,12.367188,12.281250,0.000000,0.000000,0.000000,0.000000,
0.420837,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.000000,0.000000,12.007812,12.406250,12.367188,12.281250,0.000000,0.000000,0.000000,0.000000,
0.440660,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.984375,12.398438,12.382812,12.289062,0.187500,0.125000,0.000000,0.000000,
0.460818,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.007812,12.406250,12.367188,12.289062,0.000000,0.000000,0.156250,0.000000,
0.481127,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.984375,12.390625,12.367188,12.273438,0.156250,0.125000,0.000000,0.156250,
0.500823,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.406250,12.382812,12.281250,0.000000,0.000000,0.000000,0.000000,
0.520643,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,12.406250,12.367188,12.281250,0.000000,0.000000,0.000000,0.000000,
0.540891,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.000000,12.414062,12.367188,12.289062,0.000000,0.000000,0.156250,0.000000,
0.560829,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.390625,12.390625,12.265625,0.187500,0.125000,0.000000,0.156250,
0.580698,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.000000,12.406250,12.367188,12.281250,0.000000,0.000000,0.156250,0.000000,
0.600781,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.992188,12.390625,12.359375,12.281250,0.218750,0.125000,0.000000,0.156250,
0.620755,-1.000000,0.000000,0.000000,0.076800,0.076800,0.000000,-0.000000,0.003815,0.003815,0.003815,0.003815,12.007812,12.406250,12.382812,12.289062,0.000000,0.000000,0.156250,0.000000,
