Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000851,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.601562,12.335938,12.375000,12.429688,0.000000,0.000000,0.000000,0.000000,
0.020488,0.016318,0.016320,0.000000,-0.000000,0.002441,0.002441,0.002441,0.002441,12.601562,12.328125,12.375000,12.414062,0.000000,0.093750,0.062500,0.125000,
0.040127,0.208576,0.208612,0.000000,-0.000000,0.031281,0.031281,0.028748,0.031281,12.585938,12.281250,12.375000,12.414062,0.156250,0.000000,0.062500,0.125000,
0.060270,0.403542,0.403598,0.000000,0.125714,0.058016,0.058016,0.058016,0.058016,12.507812,12.257812,12.312500,12.382812,0.000000,0.000000,0.000000,0.000000,
0.080116,0.603042,0.603151,0.025143,0.125714,0.075350,0.087924,0.077883,0.077883,12.421875,11.406250,11.531250,12.382812,0.062500,31.750000,28.562500,0.000000,
0.100097,0.796974,0.797246,0.150857,0.125714,0.104434,0.104434,0.096957,0.106998,11.710938,11.054688,11.531250,11.640625,28.406250,33.406250,28.562500,28.031250,
0.120073,0.993283,0.993893,0.150857,0.226285,0.128849,0.128849,0.126438,0.126438,11.296875,11.195312,11.484375,11.468750,33.812500,28.781250,28.125000,27.781250,
0.140165,1.198761,1.200008,0.201142,0.226285,0.144597,0.159673,0.147313,0.147313,11.210938,10.710938,11.031250,11.187500,28.687500,36.187500,34.437500,32.906250,
0.160504,1.400764,1.403740,0.351999,0.477713,0.174902,0.174902,0.162786,0.162786,10.859375,10.585938,10.976562,11.039062,34.875000,36.375000,29.031250,25.593750,
0.180156,1.609484,1.615957,0.351999,0.477713,0.188604,0.188604,0.194617,0.194617,10.671875,10.554688,10.515625,11.039062,37.312500,36.562500,37.093750,25.593750,
0.200546,1.808920,1.819832,0.527999,0.703998,0.218513,0.218513,0.202551,0.202551,10.320312,10.609375,10.859375,10.898438,37.000000,30.250000,26.812500,34.531250,
0.220292,2.015621,2.031304,0.754284,1.005712,0.226905,0.226905,0.204108,0.204108,10.703125,10.500000,10.914062,11.148438,30.656250,35.906250,29.562500,29.093750,
0.240166,2.207820,2.228198,0.754284,1.005712,0.225562,0.255715,0.233650,0.233650,10.742188,10.640625,10.695312,11.148438,33.062500,34.343750,33.468750,29.093750,
