Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000729,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.195312,12.609375,12.562500,12.476562,0.000000,0.000000,0.000000,0.000000,
0.020283,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.750000,12.609375,12.554688,12.484375,0.000000,0.000000,0.000000,0.000000,
0.040223,-1.000000,0.000000,0.000000,0.720000,0.720000,0.000000,-0.000000,0.013977,0.013977,0.006989,0.000000,11.703125,12.078125,12.093750,11.968750,0.000000,0.031250,0.000000,0.000000,
0.060277,-1.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.027985,0.027985,0.020997,0.013977,11.726562,12.109375,12.140625,12.031250,0.062500,0.031250,0.000000,0.000000,
0.080538,-1.000000,0.000000,0.005238,0.720000,0.720000,0.000000,0.020952,0.035981,0.035981,0.000000,0.027985,11.695312,12.195312,12.210938,12.132812,0.281250,0.000000,0.000000,0.000000,
0.100370,-1.000000,0.005238,0.005238,-0.000000,-0.000000,0.020952,0.020952,0.035981,0.035981,0.006989,0.000000,11.656250,12.046875,12.203125,12.132812,0.312500,0.000000,0.000000,0.031250,
0.120395,-1.000000,0.010476,0.005238,0.720000,0.720000,0.041905,0.020952,0.035981,0.035981,0.020997,0.013977,11.625000,12.234375,12.171875,12.078125,0.406250,0.000000,0.000000,0.000000,
0.140397,-1.000000,0.010476,0.010476,-0.000000,-0.000000,0.041905,0.041905,0.000000,0.000000,0.000000,0.027985,11.890625,12.273438,12.250000,12.179688,0.000000,0.000000,0.000000,0.000000,
0.160400,-1.000000,0.010476,0.005238,0.720000,0.720000,0.041905,0.041905,0.013977,0.013977,0.006989,0.000000,11.804688,12.265625,12.242188,12.171875,0.000000,0.062500,0.000000,0.000000,
0.180301,-1.000000,0.010476,0.005238,-0.000000,-0.000000,0.041905,0.020952,0.000000,0.000000,0.000000,0.013977,11.882812,12.273438,12.250000,12.195312,0.000000,0.000000,0.000000,0.000000,
