Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000693,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.062500,12.453125,12.453125,12.351562,0.000000,0.000000,0.000000,0.000000,
0.020238,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.062500,12.468750,12.429688,12.343750,0.000000,0.000000,0.000000,0.000000,
0.040263,-1.000000,0.000000,0.000000,0.480000,0.480000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.460938,12.421875,12.343750,0.000000,0.000000,0.000000,0.000000,
0.060206,-1.000000,0.000000,0.000000,1.920000,1.920000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.468750,12.437500,12.335938,0.000000,0.000000,0.000000,0.000000,
0.080221,-1.000000,0.000000,0.000000,0.480000,0.480000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.445312,12.414062,12.335938,0.000000,0.000000,0.000000,0.000000,
0.100308,-1.000000,0.000000,0.000000,1.920000,1.920000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.453125,12.421875,12.343750,0.000000,0.000000,0.000000,0.000000,
0.120397,-1.000000,0.000000,0.000000,0.480000,0.480000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.453125,12.437500,12.343750,0.000000,0.000000,0.000000,0.000000,
0.140234,-1.000000,0.000000,0.000000,1.920000,1.920000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.460938,12.414062,12.343750,0.000000,0.000000,0.000000,0.000000,
0.160180,-1.000000,0.000000,0.000000,0.480000,0.480000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.453125,12.421875,12.335938,0.000000,0.000000,0.000000,0.000000,
0.180236,-1.000000,0.000000,0.000000,1.920000,1.920000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.054688,12.453125,12.437500,12.343750,0.000000,0.000000,0.000000,0.000000,
