Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000868,-1.000000,-0.020952,0.005238,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.578125,12.437500,12.507812,12.429688,0.000000,0.000000,0.000000,0.000000,
0.020686,-1.000000,-0.020952,0.005238,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.687500,12.109375,11.898438,11.859375,0.000000,0.000000,0.000000,0.000000,
0.040596,-1.000000,-0.020952,0.005238,0.480000,0.480000,0.000000,-0.000000,0.023988,0.023988,0.023988,0.023988,11.757812,12.171875,11.843750,11.890625,0.156250,0.000000,0.250000,0.000000,
0.060387,-1.000000,-0.015714,0.010476,-0.000000,-0.000000,0.020952,-0.000000,0.000000,0.000000,0.000000,0.000000,11.867188,12.281250,12.101562,11.976562,0.000000,0.000000,0.000000,0.062500,
0.080445,-1.000000,-0.015714,0.010476,0.480000,0.480000,0.020952,0.020952,0.023988,0.023988,0.023988,0.023988,11.812500,12.234375,12.046875,12.085938,0.000000,0.093750,0.375000,0.000000,
0.100433,-1.000000,-0.010476,0.020952,-0.000000,-0.000000,0.020952,0.041905,0.000000,0.000000,0.000000,0.000000,11.812500,12.281250,12.148438,12.054688,0.000000,0.000000,0.000000,0.093750,
0.120536,-1.000000,-0.005238,0.020952,0.480000,0.480000,0.062857,0.041905,0.023988,0.023988,0.023988,0.023988,11.632812,12.234375,12.062500,12.109375,0.937500,0.000000,0.468750,0.000000,
0.140474,-1.000000,-0.005238,0.026190,-0.000000,-0.000000,0.062857,0.062857,0.000000,0.000000,0.000000,0.000000,11.632812,12.210938,12.179688,12.054688,0.937500,0.000000,0.000000,0.125000,
0.160386,-1.000000,-0.005238,0.026190,0.480000,0.480000,0.062857,0.083809,0.023988,0.023988,0.023988,0.023988,11.679688,12.148438,12.054688,12.109375,0.875000,0.000000,0.531250,0.000000,
0.180759,-1.000000,0.000000,0.031428,-0.000000,-0.000000,0.083809,0.083809,0.000000,0.000000,0.000000,0.000000,11.820312,12.203125,12.179688,12.000000,0.000000,0.000000,0.000000,0.312500,
0.200517,-1.000000,0.000000,0.031428,0.480000,0.480000,0.083809,0.104762,0.023988,0.023988,0.023988,0.023988,11.679688,12.210938,12.046875,12.109375,0.875000,0.000000,0.281250,0.000000,
0.220401,-1.000000,0.000000,0.031428,-0.000000,-0.000000,0.083809,0.104762,0.000000,0.000000,0.023988,0.023988,11.679688,12.218750,12.085938,11.992188,0.875000,0.000000,0.156250,0.406250,
0.240391,-1.000000,0.000000,0.036667,0.480000,0.480000,0.083809,0.104762,0.023988,0.023988,0.023988,0.023988,11.804688,12.187500,12.078125,12.007812,0.000000,0.000000,0.187500,0.375000,
0.260445,-1.000000,0.000000,0.036667,-0.000000,-0.000000,0.083809,0.125714,0.000000,0.000000,0.000000,0.000000,11.828125,12.226562,12.187500,11.960938,0.000000,0.000000,0.000000,0.531250,
0.280444,-1.000000,0.000000,0.036667,0.480000,0.480000,0.083809,0.125714,0.023988,0.023988,0.023988,0.023988,11.687500,12.218750,12.039062,12.039062,0.875000,0.000000,0.250000,0.000000,
