Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000687,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.984375,11.757812,12.359375,12.265625,0.000000,0.000000,0.000000,0.000000,
0.020174,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.492188,11.859375,11.734375,11.648438,0.000000,0.000000,0.000000,0.000000,
0.039961,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.585938,12.039062,11.773438,11.695312,0.000000,0.000000,0.000000,0.000000,
0.059940,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,12.109375,11.953125,11.906250,0.000000,0.000000,0.000000,0.000000,
0.080222,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.656250,12.070312,11.984375,11.953125,0.000000,0.000000,0.000000,0.000000,
0.100554,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.671875,12.039062,11.945312,11.898438,0.000000,0.000000,0.000000,0.000000,
0.120014,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.664062,12.015625,11.984375,11.851562,0.000000,0.000000,0.000000,0.000000,
0.140030,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.656250,11.976562,11.992188,11.890625,0.000000,0.000000,0.000000,0.000000,
0.159935,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.671875,12.000000,11.984375,11.882812,0.000000,0.000000,0.000000,0.000000,
0.179982,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.664062,12.000000,11.992188,11.906250,0.000000,0.000000,0.000000,0.000000,
0.200580,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.671875,12.015625,12.000000,11.890625,0.000000,0.000000,0.000000,0.000000,
0.219912,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.664062,12.015625,12.000000,11.914062,0.000000,0.000000,0.000000,0.000000,
0.240046,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.656250,12.031250,11.992188,11.898438,0.000000,0.000000,0.000000,0.000000,
0.259919,-1.000000,0.015714,-0.010476,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.640625,12.031250,12.023438,11.921875,0.000000,0.000000,0.000000,0.000000,
