Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.796875,11.546875,11.585938,11.625000,0.000000,0.000000,0.000000,0.000000,
0.018878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.789062,11.546875,11.585938,11.625000,0.000000,0.000000,0.000000,0.000000,
0.038800,0.030518,-0.030518,0.000000,0.000000,0.002258,0.000000,-0.002258,-0.002258,11.789062,11.554688,11.601562,11.625000,0.125000,0.000000,0.000000,0.125000,
0.058902,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.539062,11.585938,11.625000,0.125000,0.093750,0.093750,0.125000,
0.078851,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.539062,11.593750,11.617188,0.125000,0.093750,0.093750,0.093750,
0.098851,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.593750,11.625000,0.125000,0.093750,0.093750,0.093750,
0.118841,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.609375,11.625000,0.125000,0.062500,0.093750,0.093750,
0.138907,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.554688,11.593750,11.632812,0.125000,0.093750,0.093750,0.125000,
0.158910,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.781250,11.554688,11.593750,11.625000,0.125000,0.093750,0.093750,0.093750,
0.179032,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.546875,11.593750,11.632812,0.125000,0.062500,0.093750,0.093750,
0.198836,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.593750,11.617188,0.125000,0.062500,0.093750,0.093750,
0.218797,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.546875,11.593750,11.632812,0.093750,0.062500,0.093750,0.125000,
0.238835,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.601562,11.625000,0.125000,0.093750,0.093750,0.093750,
0.259298,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.546875,11.585938,11.632812,0.125000,0.093750,0.093750,0.093750,
0.279198,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.546875,11.593750,11.632812,0.125000,0.062500,0.093750,0.093750,
0.298829,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.585938,11.632812,0.125000,0.062500,0.093750,0.093750,
0.318991,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.546875,11.593750,11.632812,0.125000,0.093750,0.093750,0.093750,
0.338834,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.546875,11.593750,11.625000,0.125000,0.062500,0.093750,0.093750,
0.358879,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.554688,11.593750,11.632812,0.125000,0.062500,0.093750,0.125000,
0.378900,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.554688,11.593750,11.632812,0.125000,0.093750,0.093750,0.093750,
0.398955,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.796875,11.546875,11.593750,11.632812,0.125000,0.062500,0.093750,0.093750,
0.418791,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.585938,11.625000,0.125000,0.062500,0.093750,0.125000,
0.438928,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.554688,11.593750,11.625000,0.125000,0.093750,0.093750,0.125000,
0.458993,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.546875,11.593750,11.632812,0.125000,0.062500,0.093750,0.093750,
0.478813,0.030518,-0.030518,0.000000,0.000000,0.002258,0.002258,-0.002258,-0.002258,11.789062,11.546875,11.593750,11.625000,0.125000,0.062500,0.093750,0.125000,
