Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000866,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,12.664062,12.390625,12.437500,12.515625,0.000000,0.000000,0.000000,0.000000,
0.020072,0.016404,0.016743,0.000000,-0.000000,0.002441,0.002441,0.002503,0.002503,12.664062,12.398438,12.437500,12.531250,0.000000,0.000000,0.125000,0.000000,
0.040264,0.202539,0.206719,0.000000,-0.000000,0.030366,0.030366,0.031007,0.031007,12.648438,12.390625,12.218750,12.507812,0.125000,0.062500,0.000000,0.156250,
0.060257,0.397886,0.406114,0.000000,-0.000000,0.057161,0.057161,0.055879,0.060915,12.476562,12.296875,11.914062,12.312500,0.000000,0.000000,16.312500,0.000000,
0.080148,0.588420,0.600929,0.025143,0.050286,0.080691,0.080691,0.085086,0.085086,12.054688,11.773438,11.507812,11.945312,16.000000,18.687500,31.000000,13.968750,
0.100123,0.772042,0.789484,0.075428,0.100571,0.108249,0.108249,0.108341,0.108341,11.773438,11.500000,11.242188,11.531250,31.000000,30.468750,30.562500,30.437500,
0.120251,0.954955,0.977000,0.075428,0.100571,0.128147,0.128147,0.123905,0.136479,11.515625,11.273438,11.054688,11.296875,33.218750,32.000000,33.937500,31.750000,
0.140075,1.124707,1.150638,0.150857,0.226285,0.138524,0.138524,0.149937,0.149937,11.382812,11.132812,10.812500,11.031250,32.781250,23.906250,33.750000,32.906250,
0.160064,1.279387,1.309312,0.301714,0.351999,0.161718,0.161718,0.161168,0.161168,11.312500,10.945312,10.773438,11.062500,32.000000,32.375000,37.093750,28.843750,
0.180209,1.399839,1.434794,0.301714,0.351999,0.159673,0.159673,0.179998,0.179998,11.375000,10.968750,11.039062,11.296875,30.656250,31.906250,28.406250,25.562500,
0.200051,1.500090,1.541227,0.502856,0.578284,0.174718,0.174718,0.173345,0.173345,11.398438,11.109375,11.171875,11.265625,27.187500,27.562500,27.875000,28.375000,
0.220456,1.547990,1.596390,0.729141,0.854855,0.159276,0.159276,0.153966,0.181616,11.578125,11.171875,11.148438,11.476562,24.406250,21.843750,24.937500,23.218750,
0.240248,1.579052,1.636217,0.729141,0.854855,0.133763,0.133763,0.159917,0.159917,11.710938,11.351562,11.507812,11.609375,17.093750,20.812500,19.500000,16.062500,
0.260229,1.536732,1.601714,1.030855,1.156569,0.127415,0.127415,0.124577,0.124577,12.054688,11.773438,12.062500,11.734375,17.281250,13.843750,11.875000,20.062500,
0.280370,1.483851,1.556491,1.030855,1.156569,0.086795,0.086795,0.085116,0.117801,12.234375,11.984375,12.093750,12.203125,14.187500,14.875000,0.031250,12.062500,
0.300085,1.394627,1.474736,1.357711,1.483425,0.045747,0.045747,0.072848,0.072848,12.531250,12.250000,12.406250,12.359375,0.000000,0.000000,0.000000,0.000000,
0.320120,1.316608,1.404022,1.634282,1.734853,0.034059,0.034059,0.037111,0.037111,12.632812,12.507812,12.515625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.340159,1.283665,1.378897,1.634282,1.734853,0.016541,0.016541,0.023286,0.033326,12.687500,12.343750,12.398438,12.476562,0.000000,0.000000,0.000000,0.000000,
0.360153,1.328008,1.431033,1.759996,1.835424,0.008087,0.008087,0.031098,0.031098,12.890625,12.726562,12.859375,13.023438,0.000000,0.093750,0.000000,0.000000,
