Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.750000,11.515625,11.562500,11.585938,0.000000,0.000000,0.000000,0.000000,
0.020041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.757812,11.515625,11.554688,11.585938,0.000000,0.000000,0.000000,0.000000,
0.040036,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.515625,11.570312,11.578125,0.125000,0.000000,0.000000,0.125000,
0.060002,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.546875,11.570312,0.125000,0.093750,0.093750,0.093750,
0.080093,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.507812,11.546875,11.578125,0.125000,0.093750,0.093750,0.093750,
0.100142,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.500000,11.554688,11.585938,0.125000,0.093750,0.093750,0.093750,
0.120067,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.546875,11.585938,0.125000,0.093750,0.062500,0.093750,
0.140062,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.500000,11.554688,11.585938,0.125000,0.093750,0.093750,0.125000,
0.160007,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.062500,0.093750,0.093750,
0.180084,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.093750,0.093750,0.093750,
0.200072,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.515625,11.546875,11.585938,0.125000,0.093750,0.093750,0.093750,
0.220102,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.093750,0.093750,0.093750,
0.240075,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.062500,0.093750,0.093750,
0.260050,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.500000,11.554688,11.578125,0.125000,0.093750,0.093750,0.125000,
0.280105,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.500000,11.546875,11.578125,0.125000,0.093750,0.093750,0.125000,
0.300102,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.500000,11.546875,11.578125,0.125000,0.093750,0.093750,0.093750,
0.320110,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.507812,11.554688,11.578125,0.125000,0.093750,0.093750,0.125000,
0.340011,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.546875,11.578125,0.125000,0.093750,0.093750,0.093750,
0.360009,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.742188,11.500000,11.554688,11.578125,0.125000,0.062500,0.093750,0.093750,
0.380149,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.500000,11.554688,11.585938,0.125000,0.093750,0.093750,0.093750,
0.400085,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.585938,0.125000,0.093750,0.093750,0.093750,
0.420060,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.585938,0.125000,0.062500,0.093750,0.093750,
0.440171,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.093750,0.093750,0.093750,0.093750,
0.460127,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.742188,11.515625,11.546875,11.578125,0.125000,0.093750,0.093750,0.093750,
0.480115,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.515625,11.554688,11.578125,0.125000,0.062500,0.093750,0.093750,
0.500095,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.500000,11.554688,11.578125,0.125000,0.093750,0.093750,0.125000,
0.520192,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.093750,0.093750,0.093750,
0.540074,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.562500,11.578125,0.093750,0.062500,0.093750,0.093750,
0.560021,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.757812,11.515625,11.554688,11.578125,0.125000,0.093750,0.093750,0.125000,
0.580085,0.036926,-0.036926,0.000000,0.000000,0.005524,0.005524,-0.005524,-0.005524,11.750000,11.507812,11.554688,11.578125,0.125000,0.093750,0.093750,0.093750,
