Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000709,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.929688,12.335938,12.296875,12.218750,0.000000,0.000000,0.000000,0.000000,
0.023641,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.937500,12.335938,12.296875,12.210938,0.000000,0.000000,0.000000,0.000000,
0.040649,-1.000000,0.005238,0.005238,0.480000,0.480000,0.000000,-0.000000,0.047975,0.047975,0.047975,0.047975,11.703125,12.312500,12.062500,12.187500,0.031250,0.000000,0.000000,0.000000,
0.060631,-1.000000,0.041905,0.031428,1.920000,1.920000,0.000000,0.041905,0.191992,0.191992,0.187780,0.187780,11.046875,11.593750,11.039062,12.046875,22.718750,14.937500,28.218750,0.000000,
0.080430,-1.000000,0.052381,0.047143,0.480000,0.480000,0.167619,0.041905,0.175237,0.175237,0.043794,0.043794,10.625000,10.132812,11.351562,9.804688,36.781250,47.812500,0.625000,56.781250,
0.100387,-1.000000,0.057619,0.057619,1.920000,1.920000,0.230476,0.188571,0.024934,0.024934,0.173132,0.173132,11.539062,11.828125,10.687500,12.046875,0.468750,0.156250,45.125000,0.062500,
0.120316,-1.000000,0.062857,0.073333,0.480000,0.480000,0.230476,0.272380,0.024934,0.024934,0.020753,0.020753,11.789062,11.875000,12.156250,10.640625,0.062500,0.218750,0.062500,47.906250,
0.140345,-1.000000,0.089047,0.083809,1.920000,1.920000,0.272380,0.272380,0.164739,0.164739,0.164739,0.020753,10.843750,11.593750,10.773438,11.898438,25.250000,16.250000,33.031250,0.000000,
0.160335,-1.000000,0.104762,0.094285,0.480000,0.480000,0.398094,0.356190,0.164739,0.164739,0.012360,0.012360,10.679688,10.359375,11.718750,10.078125,35.875000,41.906250,0.000000,45.937500,
0.180562,-1.000000,0.120476,0.104762,1.920000,1.920000,0.398094,0.398094,0.152165,0.152165,0.152165,0.152165,10.578125,10.976562,10.960938,11.742188,32.156250,21.718750,27.218750,1.281250,
0.200419,-1.000000,0.141428,0.125714,0.480000,0.480000,0.502856,0.398094,0.141697,0.141697,0.008179,0.008179,10.945312,10.757812,11.843750,10.203125,26.562500,31.812500,0.000000,46.187500,
0.220289,-1.000000,0.146666,0.136190,1.920000,1.920000,0.586665,0.502856,-0.002258,-0.002258,0.141697,0.141697,11.695312,12.125000,11.226562,11.984375,0.000000,0.093750,29.468750,0.000000,
0.240527,-1.000000,0.146666,0.157142,0.480000,0.480000,0.586665,0.628570,-0.010651,-0.010651,-0.002258,-0.002258,11.828125,12.085938,11.953125,11.007812,0.031250,0.312500,1.468750,34.687500,
0.260341,-1.000000,0.146666,0.167619,1.920000,1.920000,0.586665,0.628570,-0.010651,-0.010651,0.129124,0.129124,11.726562,12.148438,11.226562,11.757812,0.187500,0.062500,30.906250,1.031250,
0.280546,-1.000000,0.146666,0.193809,0.480000,0.480000,0.586665,0.712379,-0.010651,-0.010651,-0.023225,-0.023225,11.804688,12.085938,11.929688,11.343750,2.312500,1.562500,0.031250,28.406250,
0.300550,-1.000000,0.146666,0.199047,1.920000,1.920000,0.586665,0.712379,-0.010651,-0.010651,0.120762,-0.023225,11.710938,12.070312,11.226562,11.906250,2.625000,3.812500,30.343750,0.281250,
0.320491,-1.000000,0.199047,0.225238,0.480000,0.480000,0.523808,0.733332,0.139592,0.139592,-0.025330,-0.025330,11.601562,11.796875,11.750000,11.570312,11.562500,16.187500,2.000000,23.093750,
0.340134,-1.000000,0.199047,0.230476,1.920000,1.920000,0.523808,0.712379,-0.004364,-0.004364,0.120762,-0.025330,11.750000,12.171875,11.296875,11.757812,0.156250,0.125000,25.718750,1.718750,
