Time,MatchTime,LeadRPM,RPMSetpoint,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
0.000939,-1.000000,-0.000000,0.000000,0.000000,12.335938,0.000000
0.020520,-1.000000,-0.000000,0.000000,0.000000,12.007812,0.000000
0.040844,-1.000000,-0.000000,0.000000,0.000000,11.734375,0.000000
0.060456,-1.000000,-0.000000,0.000000,0.000000,11.976562,0.000000
0.080486,-1.000000,-0.000000,0.000000,0.000000,11.929688,0.000000
0.100465,-1.000000,-0.000000,0.000000,0.000000,11.937500,0.000000
0.120695,-1.000000,-0.000000,0.000000,0.000000,11.976562,0.000000
0.141357,-1.000000,-0.000000,0.000000,0.000000,11.992188,0.000000
0.160582,-1.000000,-0.000000,0.000000,0.000000,12.000000,0.000000
0.180413,-1.000000,-0.000000,0.000000,0.000000,11.929688,0.000000
0.200567,-1.000000,-0.000000,0.000000,0.000000,11.929688,0.000000
0.220800,-1.000000,-0.000000,0.000000,0.000000,11.976562,0.000000
0.240751,-1.000000,-0.000000,0.000000,0.000000,11.992188,0.000000
0.260438,-1.000000,-0.000000,0.000000,0.000000,12.007812,0.000000
0.280444,-1.000000,-0.000000,0.000000,0.000000,11.921875,0.000000
0.300829,-1.000000,-0.000000,0.000000,0.000000,11.914062,0.000000
0.320374,-1.000000,-0.000000,0.000000,0.000000,11.945312,0.000000
0.340570,-1.000000,-0.000000,0.000000,0.000000,11.960938,0.000000
0.360370,-1.000000,-0.000000,0.000000,0.000000,11.976562,0.000000
0.380603,-1.000000,-0.000000,0.000000,0.000000,11.914062,0.000000
0.400905,-1.000000,-0.000000,0.000000,0.000000,11.906250,0.000000
0.420459,-1.000000,-0.000000,0.000000,0.000000,11.953125,0.000000
0.440587,-1.000000,-0.000000,0.000000,0.000000,11.968750,0.000000
0.460591,-1.000000,-0.000000,0.000000,0.000000,11.992188,0.000000
0.480489,-1.000000,-0.000000,0.000000,0.000000,11.968750,0.000000
0.500558,-1.000000,-0.000000,0.000000,0.000000,11.859375,0.000000
0.520554,-1.000000,-0.000000,0.000000,0.000000,11.914062,0.000000
0.540492,-1.000000,-0.000000,0.000000,0.000000,11.945312,0.000000
0.560535,-1.000000,-0.000000,0.000000,0.000000,11.960938,0.000000
0.580421,-1.000000,-0.000000,0.000000,0.000000,11.976562,0.000000
0.600643,-1.000000,-0.000000,0.000000,0.000000,11.882812,0.000000
0.620491,-1.000000,-0.000000,0.000000,0.000000,11.867188,0.000000
