Time,MatchTime,LeadRPM,RPMSetpoint,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
0.001194,-1.000000,-0.000000,0.000000,0.000000,12.257812,0.000000
0.020743,-1.000000,-0.000000,0.000000,0.000000,11.437500,0.000000
0.040596,-1.000000,-0.000000,0.000000,0.000000,11.578125,0.000000
0.060710,-1.000000,-0.000000,0.000000,0.000000,11.796875,0.000000
0.080468,-1.000000,-0.000000,0.000000,0.000000,11.898438,0.000000
0.100480,-1.000000,-0.000000,0.000000,0.000000,11.921875,0.000000
0.120543,-1.000000,-0.000000,0.000000,0.000000,11.945312,0.000000
0.140693,-1.000000,-0.000000,0.000000,0.000000,11.914062,0.000000
0.160567,-1.000000,-0.000000,0.000000,0.000000,11.843750,0.000000
0.180571,-1.000000,-0.000000,0.000000,0.000000,11.890625,0.000000
0.200632,-1.000000,-0.000000,0.000000,0.000000,11.898438,0.000000
0.220663,-1.000000,-0.000000,0.000000,0.000000,11.929688,0.000000
0.240656,-1.000000,-0.000000,0.000000,0.000000,11.906250,0.000000
0.260437,-1.000000,-0.000000,0.000000,0.000000,11.804688,0.000000
0.280563,-1.000000,-0.000000,0.000000,0.000000,11.851562,0.000000
0.300449,-1.000000,-0.000000,0.000000,0.000000,11.867188,0.000000
0.320484,-1.000000,-0.000000,0.000000,0.000000,11.890625,0.000000
0.340561,-1.000000,-0.000000,0.000000,0.000000,11.890625,0.000000
0.360628,-1.000000,-0.000000,0.000000,0.000000,11.820312,0.000000
0.380566,-1.000000,-0.000000,0.000000,0.000000,11.828125,0.000000
0.400687,-1.000000,-0.000000,0.000000,0.000000,11.851562,0.000000
0.420573,-1.000000,-0.000000,0.000000,0.000000,11.867188,0.000000
0.440605,-1.000000,-0.000000,0.000000,0.000000,11.882812,0.000000
0.460513,-1.000000,-0.000000,0.000000,0.000000,11.828125,0.000000
0.480497,-1.000000,-0.000000,0.000000,0.000000,11.804688,0.000000
0.500439,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
0.520669,-1.000000,-0.000000,0.000000,0.000000,11.859375,0.000000
0.540553,-1.000000,-0.000000,0.000000,0.000000,11.867188,0.000000
0.560503,-1.000000,-0.000000,0.000000,0.000000,11.882812,0.000000
0.580721,-1.000000,-0.000000,0.000000,0.000000,11.796875,0.000000
0.601848,-1.000000,-0.000000,0.000000,0.000000,11.789062,0.000000
0.620605,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
0.640605,-1.000000,-0.000000,0.000000,0.000000,11.851562,0.000000
0.660553,-1.000000,-0.000000,0.000000,0.000000,11.859375,0.000000
0.680553,-1.000000,-0.000000,0.000000,0.000000,11.843750,0.000000
0.700563,-1.000000,-0.000000,0.000000,0.000000,11.773438,0.000000
0.720807,-1.000000,-0.000000,0.000000,0.000000,11.789062,0.000000
0.740659,-1.000000,-0.000000,0.000000,0.000000,11.812500,0.000000
0.760593,-1.000000,-0.000000,0.000000,0.000000,11.851562,0.000000
0.781293,-1.000000,-0.000000,0.000000,0.000000,11.867188,0.000000
0.800509,-1.000000,-0.000000,0.000000,0.000000,11.843750,0.000000
0.820612,-1.000000,-0.000000,0.000000,0.000000,11.765625,0.000000
0.840647,-1.000000,-0.000000,0.000000,0.000000,11.789062,0.000000
0.860476,-1.000000,-0.000000,0.000000,0.000000,11.812500,0.000000
0.880623,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
0.900647,-1.000000,-0.000000,0.000000,0.000000,11.859375,0.000000
0.920543,-1.000000,-0.000000,0.000000,0.000000,11.828125,0.000000
0.940481,-1.000000,-0.000000,0.000000,0.000000,11.757812,0.000000
0.960571,-1.000000,-0.000000,0.000000,0.000000,11.757812,0.000000
0.980768,-1.000000,-0.000000,0.000000,0.000000,11.804688,0.000000
1.000674,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
1.020555,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
1.040616,-1.000000,-0.000000,0.000000,0.000000,11.820312,0.000000
1.060723,-1.000000,-0.000000,0.000000,0.000000,11.757812,0.000000
1.080568,-1.000000,-0.000000,0.000000,0.000000,11.742188,0.000000
1.100929,-1.000000,-0.000000,0.000000,0.000000,11.804688,0.000000
1.120530,-1.000000,-0.000000,0.000000,0.000000,11.820312,0.000000
1.140543,-1.000000,-0.000000,0.000000,0.000000,11.820312,0.000000
1.160448,-1.000000,-0.000000,0.000000,0.000000,11.843750,0.000000
1.180644,-1.000000,-0.000000,0.000000,0.000000,11.757812,0.000000
1.200774,-1.000000,-0.000000,0.000000,0.000000,11.757812,0.000000
1.220495,-1.000000,-0.000000,0.000000,0.000000,11.789062,0.000000
1.240551,-1.000000,-0.000000,0.000000,0.000000,11.804688,0.000000
1.260572,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
1.280696,-1.000000,-0.000000,0.000000,0.000000,11.835938,0.000000
1.300555,-1.000000,-0.000000,0.000000,0.000000,11.765625,0.000000
1.320544,-1.000000,-0.000000,0.000000,0.000000,11.726562,0.000000
1.340546,-1.000000,-0.000000,1487.000000,0.000000,11.765625,0.000000
1.360634,-1.000000,5.714286,1487.000000,0.973998,9.406250,16.687500
1.380845,-1.000000,5.714286,1487.000000,0.000000,11.648438,0.000000
1.400808,-1.000000,5.714286,1487.000000,1.000000,9.343750,96.437500
1.420633,-1.000000,22.857143,1487.000000,0.313059,8.109375,79.593750
1.440579,-1.000000,22.857143,1487.000000,0.343913,7.515625,79.906250
1.460696,-1.000000,28.571430,1487.000000,0.355876,7.195312,81.625000
1.480616,-1.000000,45.714287,1487.000000,0.361797,7.320312,79.468750
1.501158,-1.000000,45.714287,1487.000000,0.391766,7.265625,79.781250
1.520619,-1.000000,68.571426,1487.000000,0.393200,7.218750,80.625000
1.540596,-1.000000,102.857140,1487.000000,0.393841,6.984375,81.656250
1.560574,-1.000000,102.857140,1487.000000,0.459059,7.132812,79.343750
1.580944,-1.000000,137.142853,1487.000000,0.444685,6.617188,90.968750
1.600780,-1.000000,137.142853,1487.000000,0.445570,6.703125,85.562500
1.620505,-1.000000,177.142868,1487.000000,0.445784,7.468750,88.312500
1.640532,-1.000000,228.571442,1487.000000,0.436018,6.515625,94.093750
1.660958,-1.000000,228.571442,1487.000000,0.649922,6.695312,91.937500
