Time,MatchTime,LeadRPM,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
0.000241,-1.000000,0.000000,0.000000,12.273438,0.000000
0.019951,-1.000000,0.000000,0.000000,12.273438,0.000000
0.040010,-1.000000,0.000000,0.000000,12.273438,0.000000
0.060080,-1.000000,0.000000,0.000000,12.265625,0.000000
0.080071,-1.000000,0.000000,0.000000,12.281250,0.000000
0.100039,-1.000000,0.000000,0.000000,12.273438,0.000000
0.120385,-1.000000,0.000000,0.000000,12.273438,0.000000
0.139941,-1.000000,0.000000,0.000000,12.273438,0.000000
0.160124,-1.000000,0.000000,0.000000,12.273438,0.000000
0.180042,-1.000000,0.000000,0.000000,12.265625,0.000000
0.199931,-1.000000,0.000000,0.000000,12.273438,0.000000
0.219886,-1.000000,0.000000,0.000000,12.281250,0.000000
0.239890,-1.000000,0.000000,0.000000,12.281250,0.000000
0.260173,-1.000000,0.000000,0.000000,12.273438,0.000000
0.279934,-1.000000,0.000000,0.000000,12.281250,0.000000
0.299909,-1.000000,0.000000,0.000000,12.273438,0.000000
0.320115,-1.000000,0.000000,0.000000,12.281250,0.000000
0.339893,-1.000000,0.000000,0.000000,12.273438,0.000000
0.359879,-1.000000,0.000000,0.000000,12.281250,0.000000
0.380249,-1.000000,0.000000,0.000000,12.289062,0.000000
0.400046,-1.000000,0.000000,0.000000,12.281250,0.000000
0.420084,-1.000000,0.000000,0.000000,12.281250,0.000000
0.440032,-1.000000,0.000000,0.000000,12.281250,0.000000
0.460103,-1.000000,0.000000,0.000000,12.281250,0.000000
0.479966,-1.000000,0.000000,0.000000,12.273438,0.000000
0.500066,-1.000000,0.000000,0.000000,12.273438,0.000000
0.520017,-1.000000,0.000000,0.000000,12.273438,0.000000
0.539952,-1.000000,0.000000,0.000000,12.273438,0.000000
0.560179,-1.000000,0.000000,0.000000,12.273438,0.000000
0.580000,-1.000000,0.000000,0.000000,12.281250,0.000000
0.599869,-1.000000,0.000000,0.000000,12.273438,0.000000
0.620201,-1.000000,0.000000,0.000000,12.273438,0.000000
0.639857,-1.000000,0.000000,0.000000,12.281250,0.000000
0.660080,-1.000000,0.000000,0.000000,12.281250,0.000000
0.680202,-1.000000,0.000000,0.000000,12.281250,0.000000
0.699874,-1.000000,0.000000,0.000000,12.273438,0.000000
0.720001,-1.000000,0.000000,0.000000,10.968750,0.000000
0.740085,-1.000000,0.000000,0.000000,11.093750,0.000000
0.759960,-1.000000,0.000000,0.000000,11.367188,0.000000
0.779934,-1.000000,0.000000,0.000000,11.523438,0.000000
0.810610,-1.000000,0.000000,0.000000,11.742188,0.000000
0.820033,-1.000000,0.000000,0.000000,11.742188,0.000000
0.840003,-1.000000,0.000000,0.000000,11.812500,0.000000
0.860111,-1.000000,0.000000,0.000000,11.859375,0.000000
0.880059,-1.000000,0.000000,0.000000,11.898438,0.000000
0.900036,-1.000000,0.000000,0.000000,11.945312,0.000000
0.920027,-1.000000,0.000000,0.000000,11.960938,0.000000
0.940044,-1.000000,0.000000,0.000000,11.984375,0.000000
0.959977,-1.000000,0.000000,0.000000,11.992188,0.000000
0.980481,-1.000000,0.000000,0.000000,12.148438,0.000000
1.000028,-1.000000,0.000000,0.000000,12.179688,0.000000
1.020018,-1.000000,0.000000,0.000000,12.187500,0.000000
1.040052,-1.000000,0.000000,0.000000,12.203125,0.000000
1.059967,-1.000000,0.000000,0.000000,12.210938,0.000000
1.079883,-1.000000,0.000000,0.000000,12.203125,0.000000
1.100172,-1.000000,0.000000,0.000000,12.218750,0.000000
1.120025,-1.000000,0.000000,0.000000,12.226562,0.000000
1.139926,-1.000000,0.000000,0.000000,12.218750,0.000000
1.160049,-1.000000,0.000000,0.000000,12.234375,0.000000
1.180068,-1.000000,0.000000,0.000000,12.226562,0.000000
1.199866,-1.000000,0.000000,0.000000,12.210938,0.000000
1.219913,-1.000000,0.000000,0.000000,12.187500,0.000000
1.239925,-1.000000,0.000000,0.000000,12.078125,0.000000
1.259893,-1.000000,0.000000,0.000000,11.960938,0.000000
1.280022,-1.000000,0.000000,0.000000,11.859375,0.000000
1.300123,-1.000000,0.000000,0.000000,11.718750,0.000000
1.320092,-1.000000,0.000000,0.000000,11.593750,0.000000
1.339914,-1.000000,0.000000,0.000000,11.523438,0.000000
1.359919,-1.000000,0.000000,0.000000,11.382812,0.000000
1.380496,-1.000000,0.000000,0.000000,11.398438,0.000000
1.400023,-1.000000,0.000000,0.000000,11.382812,0.000000
1.420693,-1.000000,0.000000,0.000000,11.359375,0.000000
1.440027,-1.000000,0.000000,0.000000,11.484375,0.000000
1.460042,-1.000000,0.000000,0.000000,11.382812,0.000000
1.480139,-1.000000,0.000000,0.000000,11.343750,0.000000
1.500051,-1.000000,0.000000,0.000000,11.406250,0.000000
1.520201,-1.000000,0.000000,0.000000,11.335938,0.000000
1.540004,-1.000000,0.000000,0.000000,11.468750,0.000000
1.559907,-1.000000,0.000000,0.000000,11.546875,0.000000
1.580022,-1.000000,0.000000,0.000000,11.507812,0.000000
1.599932,-1.000000,0.000000,0.000000,11.671875,0.000000
1.620279,-1.000000,0.000000,0.000000,11.710938,0.000000
1.640110,-1.000000,0.000000,0.000000,11.671875,0.000000
1.660038,-1.000000,0.000000,0.000000,10.625000,0.000000
1.680052,-1.000000,0.000000,0.000000,9.156250,0.000000
1.700021,-1.000000,0.000000,0.000000,8.734375,0.000000
1.720226,-1.000000,0.000000,0.000000,9.203125,0.000000
1.739979,-1.000000,0.000000,0.000000,9.453125,0.000000
1.760008,-1.000000,0.000000,0.000000,9.843750,0.000000
1.779888,-1.000000,0.000000,0.000000,10.523438,0.000000
1.799963,-1.000000,0.000000,0.000000,10.781250,0.000000
1.820013,-1.000000,0.000000,0.000000,11.406250,0.000000
1.840050,-1.000000,0.000000,0.000000,11.789062,0.000000
1.860236,-1.000000,0.000000,0.000000,11.968750,0.000000
1.879918,-1.000000,0.000000,0.000000,11.992188,0.000000
1.900067,-1.000000,0.000000,0.000000,11.734375,0.000000
1.919889,-1.000000,0.000000,0.000000,11.500000,0.000000
1.940052,-1.000000,0.000000,0.000000,11.484375,0.000000
1.960011,-1.000000,0.000000,0.000000,11.484375,0.000000
1.980004,-1.000000,0.000000,0.000000,10.304688,0.000000
1.999865,-1.000000,0.000000,0.000000,10.476562,0.000000
2.019981,-1.000000,0.000000,0.000000,10.742188,0.000000
2.040008,-1.000000,0.000000,0.000000,10.812500,0.000000
2.060160,-1.000000,0.000000,0.000000,11.062500,0.000000
2.079954,-1.000000,0.000000,0.000000,11.101562,0.000000
2.100317,-1.000000,0.000000,0.000000,11.328125,0.000000
2.120124,-1.000000,0.000000,0.000000,11.406250,0.000000
2.140054,-1.000000,0.000000,0.000000,11.492188,0.000000
2.159950,-1.000000,0.000000,0.000000,11.617188,0.000000
2.180039,-1.000000,0.000000,0.000000,11.671875,0.000000
2.200028,-1.000000,0.000000,0.000000,11.781250,0.000000
2.219982,-1.000000,0.000000,0.000000,11.828125,0.000000
2.240014,-1.000000,0.000000,0.000000,11.875000,0.000000
2.259932,-1.000000,0.000000,0.000000,11.882812,0.000000
2.280184,-1.000000,0.000000,0.000000,11.875000,0.000000
2.300191,-1.000000,0.000000,0.000000,11.828125,0.000000
2.320075,-1.000000,0.000000,0.000000,11.812500,0.000000
2.340169,-1.000000,0.000000,0.000000,11.742188,0.000000
2.360026,-1.000000,0.000000,0.000000,11.664062,0.000000
2.380101,-1.000000,0.000000,0.000000,11.656250,0.000000
2.400069,-1.000000,0.000000,0.000000,10.617188,0.000000
2.419926,-1.000000,0.000000,0.000000,10.359375,0.000000
2.440008,-1.000000,0.000000,0.000000,11.078125,0.000000
2.460170,-1.000000,0.000000,0.000000,11.375000,0.000000
2.480056,-1.000000,0.000000,0.000000,11.445312,0.000000
2.500052,-1.000000,0.000000,0.000000,11.609375,0.000000
2.519907,-1.000000,0.000000,0.000000,11.695312,0.000000
2.540140,-1.000000,0.000000,0.000000,11.781250,0.000000
2.560032,-1.000000,0.000000,0.000000,11.859375,0.000000
2.579922,-1.000000,0.000000,0.000000,11.882812,0.000000
2.599925,-1.000000,0.000000,0.000000,11.890625,0.000000
2.620031,-1.000000,0.000000,0.000000,11.843750,0.000000
