Time,TargetLocked,VisionDriveActive,Distance,DistanceError,DistanceError_DB,AngleError,AngleError_DB,Speed,Omega
0.000704,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020363,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040449,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060434,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080260,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100651,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120256,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140354,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160340,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180529,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200299,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220560,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240431,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260477,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280374,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300285,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320508,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340488,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.360641,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380591,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400307,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.420410,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.440414,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.460473,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.480404,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500418,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520348,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540630,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.560304,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.580338,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600384,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620568,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.640408,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.660338,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.680370,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700329,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720476,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.740341,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.760635,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.780562,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800370,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.820260,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.840356,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.860337,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.880354,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900475,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.920353,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.940404,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.960327,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.980336,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000385,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.020584,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.040516,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.060441,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.080465,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100404,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.120594,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.140495,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.160378,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.180481,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200342,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220419,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.240579,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.260378,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.281130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300371,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.320417,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.340485,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.360681,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380453,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400351,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.420317,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.440596,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.460295,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.480568,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500520,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.520370,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.540390,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.560567,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.580589,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600325,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.620432,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.640663,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.660334,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.680374,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.700431,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.720528,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.740372,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.760425,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.780469,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.800606,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.820350,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.840259,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.860442,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.880329,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.900740,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.920255,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.940441,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.960402,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.980404,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000658,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.020496,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.040389,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.060550,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.080394,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.100323,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.120455,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.140281,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.160448,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.180464,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.200435,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.220644,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.240494,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.260299,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.280355,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.301062,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.320297,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.340492,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.360634,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.380583,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.400261,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.420346,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.440443,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.460525,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.480454,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500623,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.520430,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.540315,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.560459,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.580429,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.600709,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.620322,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.640510,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.660855,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.680394,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.700544,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.720237,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.740260,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.760442,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.780607,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.800519,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.820255,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.840454,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.860525,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.880480,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.900289,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.920381,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.940325,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.960814,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.980346,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000360,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.020556,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.040273,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.061855,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.080532,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.100560,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.120439,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.140493,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.160303,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.180634,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.200337,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.220743,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.240530,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.260438,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.280330,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.300399,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.320462,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
