Time,TargetLocked,VisionDriveActive,Distance,DistanceError,DistanceError_DB,AngleError,AngleError_DB,Speed,Omega
0.000616,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020502,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040288,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060551,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080347,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100286,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120378,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140336,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160766,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180527,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200291,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220549,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240293,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260281,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280284,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300415,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320415,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340314,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.360302,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380305,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400345,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.420522,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.440433,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.460473,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.480532,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500450,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520374,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540428,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.560285,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.580440,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600400,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620623,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.640280,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.660326,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.680289,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700536,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720541,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.740291,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
