Time,Position,Error,Speed,Voltage
0.008248,0,-91,0,0,
0.022024,0,-91,0,0,
0.067544,0,-18715,0,0,
0.085075,0,-18715,0,0,
0.113093,0,-18715,0,0,
0.150063,0,0,0,0,
0.174623,0,0,0,-0.179619,
0.194241,0,-10,0,-0.622678,
0.232209,0,-43,0,-1.413,
0.281016,-0.00694444,-87,-0.833333,-2.25914,
0.320019,-0.0208333,-164,-5.83333,-3.54839,
0.345614,-0.0347222,-189,-10,-3.97419,
0.375782,-0.0548611,-219,-25.4167,-4.57742,
0.409598,-0.109722,-233,-36.6667,-5.11427,
0.420449,-0.148611,-271,-50.4167,-5.11427,
0.461173,-0.245139,-270,-84.5833,-5.10323,
0.483275,-0.297917,-259,-103.333,-5.01486,
0.532474,-0.413889,-246,-137.083,-4.8827,
0.5487,-0.475694,-232,-150.833,-4.75073,
0.569708,-0.539583,-202,-162.5,-4.37683,
0.604714,-0.669444,-156,-179.167,-4.1239,
0.620613,-0.735417,-125,-185,-3.85997,
0.659118,-0.864583,-116,-192.5,-3.84775,
0.683292,-0.930556,-83,-194.167,-3.64101,
0.73069,-1.06042,-7,-195,-3.04374,
0.748861,-1.12639,-26,-195.417,-3.26281,
0.764609,-1.19028,3,-195.417,-3.01544,
0.80208,-1.31528,43,-194.167,-2.54428,
0.820474,-1.37708,71,-192.917,-2.41471,
0.862133,-1.48819,66,-186.667,-2.48539,
0.882165,-1.54514,75,-182.083,-2.33011,
0.921769,-1.65417,105,-172.917,-2.14086,
0.946031,-1.70556,115,-168.75,-2.09355,
0.964065,-1.75694,88,-165.417,-2.33011,
1.00565,-1.85278,96,-158.75,-2.23284,
1.02052,-1.9,97,-154.167,-2.23284,
1.04627,-1.94653,99,-150,-2.24472,
1.07998,-2.03403,58,-142.5,-2.57727,
1.11987,-2.12361,56,-136.667,-2.63763,
1.14675,-2.16458,47,-134.583,-2.72043,
1.16209,-2.20556,44,-132.5,-2.72043,
1.20002,-2.28611,-6,-127.917,-3.19355,
1.21912,-2.28611,-9,-125.833,-3.14624,
1.2619,-2.41667,-16,-125,-3.22581,
1.28196,-2.46042,-22,-126.25,-3.27273,
1.31731,-2.50347,-62,-128.75,-3.63636,
1.34997,-2.59375,-62,-129.583,-3.57933,
1.38506,-2.6875,-59,-132.083,-3.55616,
1.41857,-2.73542,-88,-134.583,-3.77625,
1.46036,-2.88403,-75,-142.5,-3.69516,
1.48466,-2.93611,-66,-145,-3.57933,
1.52081,-3.04097,-80,-150,-3.70674,
1.54686,-3.09444,-68,-152.5,-3.60249,
1.56465,-3.14722,-62,-154.583,-3.49824,
1.61023,-3.25417,-32,-157.917,-3.33851,
1.6413,-3.36181,-47,-159.583,-3.40831,
1.68003,-3.46944,-27,-160.417,-3.25709,
1.72023,-3.57639,-33,-160.833,-3.33138,
1.75024,-3.62917,-27,-160.833,-3.28446,
1.77914,-3.68264,-9,-160,-3.12023,
1.81947,-3.7875,10,-158.75,-2.96774,
1.85209,-3.88819,-14,-157.917,-3.18035,
1.87893,-3.93889,-6,-155,-3.14501,
1.92113,-4.09167,11,-152.5,-3.00367,
1.94578,-4.14167,17,-152.083,-2.95655,
1.97746,-4.19167,-8,-151.25,-3.16857,
2.01812,-4.29097,3,-150.833,-3.07434,
2.04892,-4.38819,11,-148.75,-2.96833,
2.08404,-4.48611,-17,-147.5,-3.19062,
2.10855,-4.53542,-11,-147.083,-3.1437,
2.14038,-4.63264,-4,-146.667,-3.12023,
2.15287,-4.63264,-3,-146.667,-3.1085,
2.16563,-4.68125,0,-146.25,-3.04985,
2.18699,-4.72986,-31,-146.25,-3.34086,
2.221,-4.82639,-23,-145.833,-3.21237,
2.25103,-4.87431,-17,-145.417,-3.17732,
2.28536,-4.97222,-46,-145.417,-3.46935,
2.31696,-5.02153,-37,-145.833,-3.38759,
2.34518,-5.11944,-31,-145.833,-3.30582,
2.37083,-5.16875,-23,-146.25,-3.23573,
2.39647,-5.21875,-52,-147.083,-3.45767,
2.41911,-5.26875,-45,-147.5,-3.42263,
2.4544,-5.36875,-30,-148.333,-3.28035,
2.4814,-5.46944,-23,-149.167,-3.22219,
2.51379,-5.52014,-47,-150,-3.43157,
2.54105,-5.62222,-38,-151.25,-3.38504,
2.56913,-5.67292,-25,-151.667,-3.23382,
2.5978,-5.72361,-13,-152.083,-3.12913,
2.61811,-5.775,-45,-152.083,-3.40831,
2.65141,-5.87569,-34,-152.083,-3.26872,
2.68028,-5.97847,-18,-152.083,-3.189,
0.00237,-5.97847,21,-152.083,-2.89697,
0.019777,-6.02847,5,-152.083,-3.11891,
0.043001,-6.07986,-75,-152.5,-4.50899,
0.060232,-6.13542,9,-152.917,-3.06051,
0.086328,-6.1875,20,-154.167,-2.90865,
0.112143,-6.28889,23,-156.25,-2.8739,
0.126747,-6.28889,27,-156.25,-2.82698,
0.153308,-6.38889,30,-155.417,-2.76833,
0.180399,-6.43889,26,-153.75,-2.78006,
0.194945,-6.48819,27,-151.667,-2.7566,
0.2216,-6.53611,24,-150,-2.74453,
0.24327,-6.58403,24,-148.75,-2.72097,
0.259776,-6.63194,25,-147.5,-2.68563,
0.286975,-6.67986,28,-146.25,-2.60318,
0.308212,-6.72708,27,-145.417,-2.57962,
0.326053,-6.77222,25,-144.167,-2.62674,
0.33668,-6.81667,26,-142.5,-2.5914,
0.361932,-6.85972,20,-140.417,-2.5914,
0.37926,-6.90278,19,-137.917,-2.60318,
0.395594,-6.94653,15,-135,-2.61496,
0.418265,-6.98958,12,-132.917,-2.60318,
0.438957,-7.03194,11,-130.833,-2.56784,
0.455939,-7.07292,12,-129.583,-2.55606,
0.484408,-7.11597,14,-128.75,-2.47361,
0.501449,-7.15625,12,-127.917,-2.50894,
0.518411,-7.19583,12,-126.667,-2.46183,
0.532319,-7.23542,13,-125,-2.43827,
0.558932,-7.27431,11,-123.333,-2.43827,
0.579813,-7.3125,9,-121.25,-2.43827,
0.594642,-7.35069,7,-119.167,-2.40293,
0.620399,-7.38819,5,-117.5,-2.42649,
0.640927,-7.42569,4,-115.833,-2.3676,
0.657885,-7.46042,5,-114.583,-2.34404,
0.683678,-7.49514,1,-112.5,-2.35582,
0.701998,-7.52847,-2,-110.417,-2.32458,
0.719536,-7.56181,-2,-107.917,-2.28954,
0.732076,-7.59514,-3,-105.417,-2.30122,
0.765242,-7.62639,-12,-102.917,-2.28954,
0.784268,-7.65764,-12,-100.417,-2.32458,
0.795529,-7.68819,-12,-98.3333,-2.27786,
0.818453,-7.71736,-15,-96.6667,-2.30122,
0.83919,-7.74722,-18,-94.5833,-2.28954,
0.857788,-7.77639,-21,-92.5,-2.30122,
0.873329,-7.80556,-20,-90.4167,-2.2545,
0.900261,-7.83333,-21,-89.1667,-2.24282,
0.923497,-7.86111,-17,-87.9167,-2.126,
0.931859,-7.88819,-17,-86.6667,-2.126,
0.962067,-7.91458,-23,-85.4167,-2.21701,
0.991526,-7.96875,-25,-82.5,-2.19355,
1.00735,-7.96875,-22,-82.5,-2.11144,
1.02886,-7.99444,-23,-80.4167,-2.09971,
1.05388,-8.04583,-21,-79.5833,-2.04106,
1.06437,-8.04583,-17,-79.5833,-1.97067,
1.07657,-8.06944,-19,-78.75,-1.9824,
1.09956,-8.09444,-20,-77.5,-1.97067,
1.1246,-8.11736,-21,-75.8333,-1.94721,
1.13365,-8.13958,-20,-74.1667,-1.91202,
1.16129,-8.16111,-23,-72.5,-1.92375,
1.18085,-8.18194,-26,-70.4167,-1.92375,
1.1931,-8.20278,-26,-68.3333,-1.90029,
1.21871,-8.22222,-29,-66.25,-1.92375,
1.25336,-8.26111,-32,-62.5,-1.87683,
1.26319,-8.26111,-32,-62.5,-1.87683,
1.27817,-8.27986,-31,-60.8333,-1.81818,
1.29885,-8.29792,-34,-59.5833,-1.84164,
1.32408,-8.31597,-35,-57.9167,-1.81818,
1.33302,-8.33264,-33,-56.25,-1.75953,
1.36124,-8.34931,-35,-55,-1.77126,
1.39096,-8.36597,-38,-52.0833,-1.77126,
1.41178,-8.38194,-37,-52.0833,-1.72434,
1.4358,-8.4125,-37,-49.5833,-1.6305,
1.45709,-8.42708,-35,-48.3333,-1.64223,
1.4837,-8.44236,-34,-47.5,-1.57185,
1.50116,-8.45694,-35,-46.25,-1.57185,
1.52474,-8.47083,-36,-45,-1.58358,
1.5336,-8.48403,-37,-44.1667,-1.49594,
1.559,-8.49722,-34,-43.3333,-1.50772,
1.58905,-8.50972,-35,-41.25,-1.49594,
1.59816,-8.52153,-32,-41.25,-1.42527,
1.61809,-8.53264,-35,-39.5833,-1.43705,
1.64638,-8.54375,-36,-37.9167,-1.42527,
1.65918,-8.55347,-36,-36.25,-1.42527,
1.68456,-8.56389,-39,-34.5833,-1.40171,
1.70165,-8.57292,-38,-32.9167,-1.35459,
1.72307,-8.58125,-39,-31.6667,-1.34282,
1.73362,-8.58958,-38,-30,-1.27214,
1.75871,-8.59722,-41,-28.3333,-1.30748,
1.79244,-8.61111,-45,-25,-1.30748,
1.80051,-8.61111,-45,-25,-1.30748,
1.81744,-8.61806,-42,-23.75,-1.2368,
1.8524,-8.62917,-43,-20.8333,-1.20147,
1.86176,-8.62917,-45,-20.8333,-1.2368,
1.88423,-8.63472,-45,-19.5833,-1.18969,
1.91179,-8.64236,-44,-17.0833,-1.13548,
1.92465,-8.64236,-46,-17.0833,-1.14731,
1.93407,-8.64514,-46,-15.4167,-1.06452,
1.95939,-8.64792,-47,-13.75,-1.11183,
1.99253,-8.65069,-51,-10,-1.12366,
2.00024,-8.65069,-51,-10,-1.12366,
2.01877,-8.65139,-50,-8.33333,-1.05269,
2.04759,-8.65139,-52,-6.25,-1.02478,
2.06051,-8.65139,-54,-4.58333,-1.03656,
2.08318,-8.65139,-55,-2.91667,-1.013,
2.10102,-8.65139,-55,-1.66667,-0.989443,
2.12424,-8.65139,-54,-0.833333,-0.954106,
2.13278,-8.65139,-54,0,-0.89521,
2.15892,-8.65139,-49,0,-0.851613,
2.19074,-8.65139,-46,0,-0.804301,
2.21888,-8.65139,-42,0,-0.733333,
2.24922,-8.65139,-38,0,-0.662366,
2.26131,-8.65139,-35,0,-0.615054,
2.28515,-8.65139,-32,0,-0.567742,
2.30162,-8.65139,-27,0,-0.473118,
2.32455,-8.65139,-26,0,-0.449462,
2.33438,-8.65139,-21,0,-0.354839,
2.35919,-8.65139,-20,0,-0.354839,
2.39124,-8.65139,-17,0,-0.285044,
2.41381,-8.65139,-13,0,-0.213783,
2.44468,-8.65139,-10,0,-0.166276,
2.45886,-8.65139,-5,0,-0.071261,
0.012719,-0.227778,-5,0,0.0957967,
0.031394,0,-5,0,0,
0.066308,0,-5,0,0,
0.114647,0,-5,0,0,
0.136949,0,0,0,0,
0.192053,0,-16,0,-0.802297,
0.223984,-0.00138889,-41,0,-1.38905,
0.244076,-0.00347222,-50,-0.416667,-1.59262,
0.284825,-0.0111111,-100,-2.91667,-2.48539,
0.301526,-0.0111111,-147,-5.41667,-3.23925,
0.346965,-0.05,-196,-15,-4.1109,
0.365075,-0.0736111,-206,-23.3333,-4.31114,
0.395744,-0.102083,-231,-33.75,-4.68671,
0.436255,-0.178472,-278,-61.6667,-5.13358,
0.464263,-0.278472,-271,-95,-5.07908,
0.516404,-0.39375,-225,-129.583,-4.9044,
0.560876,-0.517361,-207,-157.917,-4.58407,
0.600272,-0.645833,-146,-177.083,-4.05386,
0.635788,-0.777778,-134,-187.917,-4.12942,
0.676724,-0.911111,-65,-194.583,-3.52962,
0.700153,-0.977778,-32,-196.667,-3.21818,
0.743291,-1.17361,-8,-198.75,-3.04516,
0.76357,-1.2375,21,-197.917,-2.86232,
0.790223,-1.30139,51,-196.25,-2.5914,
0.816948,-1.36389,82,-194.583,-2.34404,
0.849522,-1.41736,98,-192.083,-2.17913,
0.869136,-1.53264,81,-183.75,-2.35582,
0.96767,-1.78958,89,-161.25,-2.33974,
0.993698,-1.83819,98,-157.5,-2.22097,
1.03206,-1.93333,100,-150,-2.23284,
1.04949,-1.97847,100,-147.083,-2.2566,
1.06537,-2.02292,97,-144.167,-2.55352,
1.10502,-2.11042,56,-138.333,-2.62478,
1.12554,-2.15278,54,-135.417,-2.69677,
1.17958,-2.27361,-7,-127.5,-3.20538,
1.22145,-2.31875,-7,-124.583,-3.16989,
1.26343,-2.45,-15,-127.083,-3.21408,
1.32352,-2.58056,-61,-130.417,-3.6129,
1.34961,-2.62639,-61,-130.417,-3.6129,
1.39506,-2.72083,-55,-132.5,-3.48666,
1.44954,-2.86875,-76,-140.833,-3.62566,
1.48967,-2.97153,-58,-146.25,-3.50982,
1.50911,-3.02292,-53,-148.75,-3.72991,
1.55546,-3.12847,-59,-152.917,-3.52141,
1.57087,-3.18194,-53,-154.583,-3.46349,
1.6021,-3.28958,-35,-157.917,-3.32688,
1.63531,-3.34375,-50,-158.75,-3.45484,
1.68208,-3.50556,-23,-161.25,-3.16403,
1.70432,-3.50556,-12,-161.25,-3.12913,
1.74722,-3.6625,-27,-160.417,-3.22581,
1.78757,-3.76875,-2,-158.333,-3.06158,
1.81095,-3.82014,6,-157.917,-3.00293,
1.8416,-3.87222,-15,-157.083,-3.17889,
1.86474,-3.975,-6,-156.667,-3.13196,
1.9011,-4.02569,7,-155.833,-2.9912,
1.92946,-4.12639,17,-153.75,-2.90909,
1.96327,-4.225,-11,-151.667,-3.17889,
2.00152,-4.27431,0,-150.417,-3.04985,
2.03048,-4.37431,10,-149.167,-2.96774,
2.05927,-4.42431,16,-148.75,-2.90909,
2.09041,-4.52222,-12,-148.75,-3.15543,
2.11991,-4.57083,-5,-147.917,-3.12023,
2.13569,-4.61875,-4,-147.917,-3.12023,
2.17593,-4.71597,-30,-145.833,-3.30792,
2.19733,-4.76389,-25,-145.417,-3.24741,
2.23184,-4.86181,-17,-145.417,-3.21237,
2.26428,-4.96042,-9,-146.25,-3.14228,
2.29649,-5.00903,-37,-146.667,-3.38759,
2.33114,-5.10764,-28,-146.667,-3.3175,
2.35509,-5.15625,-22,-147.083,-3.24741,
2.39199,-5.25556,-45,-147.083,-3.42263,
2.41699,-5.30625,-38,-147.5,-3.39927,
2.43967,-5.35694,-29,-148.333,-3.26872,
2.46568,-5.45833,-21,-149.583,-3.23382,
2.48951,-5.50833,-14,-150.417,-3.10587,
2.52342,-5.60903,-35,-151.25,-3.36178,
2.53688,-5.60903,-31,-151.25,-3.32688,
2.56915,-5.70972,-19,-151.25,-3.23573,
2.60609,-5.81111,-8,-150.833,-3.10723,
2.6316,-5.86181,-30,-151.25,-3.29413,
2.66395,-5.96458,-21,-151.667,-3.21237,
2.68373,-6.01528,24,-152.5,-2.82688,
0.006855,-6.06389,74,-152.5,0,
0.018633,-6.06389,6,-152.5,-3.10723,
0.031679,-6.11042,-76,-151.667,-4.52067,
0.050713,-6.16389,2,-150.417,-3.14228,
0.070778,-6.21528,3,-150,-3.09555,
0.09141,-6.26528,5,-149.583,-3.06051,
0.103088,-6.26528,9,-149.583,-3.0021,
0.130608,-6.36458,13,-150.417,-2.9437,
0.151575,-6.41319,17,-150.833,-2.87361,
0.164064,-6.41319,20,-150.833,-2.8152,
0.187888,-6.50903,20,-148.75,-2.8152,
0.212263,-6.55694,16,-147.083,-2.80352,
0.229856,-6.60417,17,-145.417,-2.78006,
0.258424,-6.65,18,-144.167,-2.72141,
0.279144,-6.69653,19,-142.917,-2.67449,
0.297131,-6.74306,17,-141.667,-2.69795,
0.306868,-6.74306,15,-141.667,-2.70968,
0.332018,-6.83264,14,-139.167,-2.68622,
0.35335,-6.87847,14,-137.917,-2.69741,
0.364228,-6.87847,14,-137.917,-2.69741,
0.394505,-6.96736,17,-136.25,-2.5914,
0.413336,-7.01042,17,-135.417,-2.5914,
0.42906,-7.05347,19,-134.167,-2.52072,
0.443171,-7.05347,17,-134.167,-2.49717,
0.472044,-7.13542,17,-130.833,-2.48539,
0.492307,-7.17639,14,-128.75,-2.48539,
0.503297,-7.17639,14,-128.75,-2.46183,
0.53125,-7.25764,10,-124.583,-2.46183,
0.563989,-7.29722,7,-123.333,-2.46183,
0.571213,-7.33681,7,-122.083,-2.46183,
0.594157,-7.37569,10,-120.833,-2.39115,
0.611397,-7.41528,13,-120,-2.3087,
0.635384,-7.45347,12,-119.167,-2.3087,
0.653466,-7.49097,13,-117.917,-2.27336,
0.670885,-7.52847,12,-116.667,-2.26158,
0.702761,-7.56458,10,-115.417,-2.26158,
0.716143,-7.60069,13,-114.167,-2.20269,
0.729609,-7.63472,11,-112.083,-2.17913,
0.7592,-7.66944,6,-110,-2.17913,
0.772636,-7.70347,4,-107.917,-2.20269,
0.796343,-7.73819,7,-106.25,-2.10846,
0.825969,-7.80278,3,-102.917,-2.14086,
0.835167,-7.80278,3,-102.917,-2.14086,
0.844132,-7.80278,4,-102.917,-2.09355,
0.871954,-7.86875,1,-100.417,-2.1172,
0.895786,-7.90069,1,-99.1667,-2.1172,
0.904166,-7.90069,6,-99.1667,-1.9871,
0.933117,-7.96042,2,-96.6667,-2.02258,
0.952886,-7.98958,1,-95,-2.00244,
