Time,Position,Error,Speed,Voltage
0.749432,-5.93194,16,-115,-2.15855,
0.753479,-5.93194,16,-112.917,-2.11085,
0.770974,-5.96736,15,-112.917,-2.1347,
0.773368,-5.96736,15,-112.917,-2.1347,
0.786046,-6.00208,15,-110.833,-2.11085,
0.788328,-6.00208,15,-110.833,-2.1347,
0.825928,-6.06944,7,-106.667,-2.15855,
0.834895,-6.06944,8,-104.583,-2.11085,
0.851738,-6.10208,6,-104.583,-2.1347,
0.854848,-6.10208,9,-104.583,-2.06315,
0.869656,-6.13542,7,-102.917,-2.07507,
0.872124,-6.13542,7,-102.917,-2.07507,
0.886461,-6.16806,8,-101.667,-2.0393,
0.888695,-6.16806,6,-101.667,-2.06315,
0.915751,-6.20139,7,-100.417,-2.02737,
0.933177,-6.23403,9,-99.5833,-1.96774,
0.949295,-6.26597,8,-98.75,-1.96774,
0.952677,-6.26597,8,-98.75,-1.89619,
0.972136,-6.29792,11,-98.3333,-1.90811,
0.976072,-6.29792,13,-97.5,-1.86041,
0.990777,-6.32778,12,-97.5,-1.86041,
0.99414,-6.32778,12,-97.5,-1.86041,
1.01465,-6.35764,10,-96.25,-1.88001,
1.0274,-6.38819,11,-94.5833,-1.86804,
1.04799,-6.41736,7,-93.3333,-1.88001,
1.052,-6.41736,7,-93.3333,-1.82014,
1.07493,-6.44583,11,-91.25,-1.73631,
1.07945,-6.47361,11,-89.5833,-1.73631,
1.0943,-6.47361,9,-89.5833,-1.76026,
1.09717,-6.47361,9,-87.9167,-1.76026,
1.11847,-6.52569,4,-85.8333,-1.77224,
1.12776,-6.52569,4,-85.8333,-1.77224,
1.14609,-6.55139,2,-83.75,-1.77224,
1.15203,-6.55139,2,-83.75,-1.74829,
1.16721,-6.57639,-1,-81.6667,-1.76026,
1.17023,-6.57639,-1,-81.6667,-1.76026,
1.19638,-6.62569,-5,-77.9167,-1.76026,
1.20349,-6.62569,-5,-77.9167,-1.71237,
1.2133,-6.62569,-3,-77.9167,-1.71237,
1.21561,-6.62569,-3,-77.9167,-1.71237,
1.22815,-6.65069,-2,-76.25,-1.66447,
1.23112,-6.65069,-3,-76.25,-1.67644,
1.25773,-6.69792,-4,-74.1667,-1.67644,
1.26638,-6.69792,-5,-74.1667,-1.67644,
1.27623,-6.69792,-3,-74.1667,-1.62854,
1.27871,-6.72153,-3,-73.3333,-1.62854,
1.28738,-6.72153,-1,-73.3333,-1.58065,
1.28952,-6.74236,0,-72.0833,-1.56867,
1.33018,-6.76319,-3,-70.8333,-1.56867,
1.34031,-6.78472,-5,-68.75,-1.5567,
1.35003,-6.78472,-8,-68.75,-1.61657,
1.35495,-6.78472,-8,-68.75,-1.61657,
1.36039,-6.80556,-6,-67.0833,-1.53275,
1.36482,-6.80556,-6,-67.0833,-1.52077,
1.3918,-6.82639,-7,-65.4167,-1.49682,
1.40251,-6.84583,-7,-63.75,-1.49682,
1.40685,-6.84583,-9,-63.75,-1.5088,
1.40882,-6.84583,-9,-63.75,-1.5088,
1.43487,-6.86458,-8,-62.5,-1.47287,
1.43826,-6.88403,-10,-61.25,-1.48485,
1.45264,-6.88403,-7,-61.25,-1.44892,
1.45605,-6.88403,-7,-61.25,-1.44892,
1.47035,-6.90208,-10,-60,-1.4609,
1.4732,-6.90208,-10,-60,-1.4609,
1.48905,-6.91875,-9,-58.3333,-1.40103,
1.49226,-6.91875,-9,-58.3333,-1.3651,
1.5161,-6.93542,-9,-55,-1.32918,
1.52442,-6.95208,-11,-55,-1.35313,
1.53922,-6.96806,-13,-52.9167,-1.3651,
1.54435,-6.96806,-13,-52.9167,-1.3651,
0.005456,-0.240278,-13,0,0,
0.050977,0,-13,0,0,
0.098269,0,-13,0,0,
0.127742,0,-13,0,0,
0.189155,0,-10,0,-0.909091,
0.215745,0,-24,0,-1.66061,
0.258256,-0.0138889,-47,-1.25,-2.90943,
0.284203,-0.0229167,-79,-4.58333,-4.43055,
0.325573,-0.0673611,-84,-19.5833,-5.03416,
0.350224,-0.102083,-75,-32.5,-4.38358,
0.393479,-0.186111,-79,-67.0833,-5.00205,
0.415356,-0.236111,-63,-105,-4.75249,
0.453709,-0.348611,-24,-138.75,-3.45044,
0.481455,-0.465278,-3,-151.667,-2.92889,
0.526412,-0.579861,-1,-167.917,-2.79106,
0.546024,-0.6375,17,-171.667,-2.23974,
0.600018,-0.802778,54,-171.25,-1.00587,
0.616837,-0.845139,13,-168.333,-2.55059,
0.668624,-0.945833,28,-157.5,-2.01173,
0.698439,-1.04236,34,-148.75,-1.72434,
0.734513,-1.08819,-2,-145,-3.08944,
0.749169,-1.13472,0,-145,-2.94575,
0.792197,-1.22639,0,-142.917,-3.0176,
0.812701,-1.27014,-1,-140.417,-2.98167,
0.839027,-1.36806,-29,-138.333,-3.93871,
0.874469,-1.41528,-24,-138.75,-3.83226,
0.906201,-1.51528,-10,-141.667,-3.26452,
0.940686,-1.61667,-34,-146.25,-4.11613,
0.952998,-1.61667,-30,-146.25,-3.99501,
0.994144,-1.72153,-5,-150,-2.97874,
1.01333,-1.775,1,-152.5,-2.83856,
1.03802,-1.87986,16,-156.25,-2.38299,
1.07479,-1.93056,-6,-157.083,-3.13548,
1.08712,-1.98333,-1,-157.083,-2.95733,
1.12374,-2.08542,13,-156.25,-2.35161,
1.14478,-2.13542,20,-155,-2.20909,
1.17827,-2.23403,-7,-152.917,-3.17111,
1.20705,-2.28403,2,-151.667,-2.9217,
1.22751,-2.33194,6,-150,-2.77918,
1.25894,-2.43125,17,-147.917,-2.31598,
1.284,-2.47917,-15,-147.5,-3.34927,
1.32002,-2.57917,-5,-147.917,-2.98065,
1.34286,-2.62778,0,-147.917,-2.90968,
1.38409,-2.72569,-25,-147.5,-3.79677,
1.40992,-2.77639,-17,-147.083,-3.58387,
1.43444,-2.82847,-3,-148.333,-3.0871,
1.45904,-2.93125,7,-150,-2.66129,
1.47842,-2.98125,15,-151.667,-2.37742,
1.49748,-3.03264,-18,-152.5,-3.37097,
1.5232,-3.08542,-2,-153.333,-3.05161,
1.5461,-3.13681,8,-153.75,-2.63666,
1.57193,-3.18681,14,-153.75,-2.49413,
1.59468,-3.23611,19,-152.917,-2.31598,
1.61193,-3.28403,-14,-152.917,-3.42053,
1.63689,-3.38194,-8,-149.583,-3.20674,
1.66459,-3.43264,4,-147.917,-2.76774,
1.68002,-3.48194,7,-147.083,-2.66129,
1.69294,-3.48194,9,-147.083,-2.66129,
1.72022,-3.57917,-20,-147.5,-3.61935,
1.743,-3.62986,-12,-147.917,-3.33548,
1.77515,-3.67986,0,-148.333,-2.90968,
1.81041,-3.78125,12,-148.75,-2.47361,
1.83672,-3.88125,-19,-150,-3.56906,
